name,otherNames,scientificName,popularity
Dryosaurus,,,20
Dryptosaurus,,Dryptosaurus aquilunguis,10
Dubreuillosaurus,,,10
Dugong,,Dugong dugon,50
Dugongidae,,,
Duiker,,Cephalophinae,60
Duriavenator,,,10
Dvinosauria,,,
Dvinosauroidea,,,
Dvinosaurus,,,10
Dwarf blue sheep,"[""Dwarf bharal""]",Pseudois schaeferi,50
Dwarf crocodile,"[""African dwarf crocodile"", ""broad-snouted crocodile"", ""bony crocodile""]",Osteolaemus,40
Dwarf sperm whale,,Kogia sima,20
Eared seal,,Otariidae,60
Earless monitor lizard,,Lanthanotus borneensis,50
Earless seal,"[""True seal""]",Phocidae,60
East african mole-rat,,Tachyoryctes splendens,50
East caucasian tur,,Capra caucasica cylindricornis,50
Eastern casquehead iguana,,Laemanctus longipes,50
Eastern grey kangaroo,,Macropus giganteus,75
Eastern lowland olingo,,Bassaricyon alleni,30
Ecdysozoa,,,
Echidna,,Tachyglossidae,50
Echimyidae,,,
Echimyinae,,,
Echinoderm,,Echinodermata,40
Echiura,"[""spoon worms""]",,10
Ectypodus,,,10
Edingerella,,,10
Edmontonia,,,10
Edmontosaurini,,,
Edmontosaurus,,,60
Edopoidea,,,
Edops,,,10
Effigia,,,10
Eggysodon,,,10
Ehrharteae,,,10
Einiosaurus,,,10
Ekaltadeta,,,10
Ekorus,,,
Elaphrosaurus,,,10
Elephant shrew,,Macroscelidea,50
Elephantida,,,
Elephantidae subclade 1,,,
Elephantidae subclade 2,,,
Elephantidae,,,
Elginerpeton,,,10
Elginia,,,10
Elmisaurinae subclade 1,,,
Elmisaurinae,,,
Elmisaurus,,,20
Elpistostegalia,,,
Embolomeri subclade 1,,,
Embolomeri subclade 2,,,
Embolomeri subclade 3,,,
Embolomeri,,,
Embolotherium,,,10
Emeraldella,,,10
Emeroleter,,,10
Enaliarctidae,,,
Encephalarteae,,,
Encephalartoideae,,,
Encephalartos,,,50
Endocerida,,,10
Endothiodon,,,10
Ennatosaurus,,,10
Ensete,,,30
Entognatha,,,10
Entoprocta,,,10
Eoabelisaurus,,,10
Eocaecilia,,,10
Eocyclotosaurus,,,10
Eodicynodon,,,10
Eodromaeus,,,
Eogyrinus,,,10
Eoherpeton,,,10
Eohippus,,,10
Eoichthyosauria,,,
Eomys,,,30
Eoraptor,,,
Eosauropterygia subclade 1,,,
Eosauropterygia,,,
Eosimops,,,10
Eosinopteryx,,,10
Eosiren,,,10
Eotetrapodiformes subclade 1,,,
Eotetrapodiformes,,,
Eothyrididae,,,
Eothyris,,,10
Eotitanops,,,10
Eotriceratops,,,10
Epanterias,,,10
Epidendroideae,,,10
Epidexipteryx,,,10
Episquamata,,,
Epistephium,,,30
Equidae,,,
Equinae,,,
Equini,,,
Equoidea,,,
Equus subclade 1,,,
Equus,,,40
Eriaxis,,,30
Ericiolacerta,,,10
Ericiolacertidae,,,
Erinaceidae,,,
Erinaceomorpha,,,
Eriocaulaceae,,,10
Eriodaphne,,,10
Eriphostoma,,,10
Erliansaurus,,,10
Erlikosaurus,,,10
Eryopidae,,,
Eryopiformes,,,
Eryops,,,10
Eryosuchus,,,10
Estemmenosuchidae,,,
Estemmenosuchus,,,10
Euarchonta,,,
Euarchontoglires,"[""Supraprimates""]",,
Eucacopinae subclade 1,,,
Eucacopinae,,,
Euceratherium,"[""shrub-ox""]",Euceratherium collinum,10
Euchambersia,,,10
Eucynodontia,,,
Eudibamus,,,10
Eudicot,,Eudicots,
Eudorcas,,,
Eudromaeosauria subclade 1,,,
Eudromaeosauria subclade 2,,,
Eudromaeosauria,,,
Euhelopodidae,,,
Euhelopus,,,10
Euiguana,,,
Eukaryote,,Eukarya,
Eumaniraptora subclade 1,,,
Eumaniraptora,,,
Eumetabola,,,
Eumetazoa,,,
Eumuroida,,,
Eumysopinae,,,
Eunotosaurus,,,10
Euoplocephalus,,,10
Eupelycosauria,,,
Euphyllophytes,,,
Eupomatia,,,40
Eurasian cave lion,,Panthera leo spelaea,30
Eurasian harvest mouse,,Micromys minutus,50
Eureptilia subclade 1,,,
Eureptilia,,,
Eurhinosaurus,,,10
Eurohippus,,,10
Europasaurus,,,10
European badger,,Meles meles,65
European bison,,,60
European rabbit,"[""common rabbit""]",Oryctolagus,75
European snow vole,,,50
European water vole,,,50
Eurypoda,,,
Eurypterida,,,10
Euryzygoma,,,10
Eusauropoda subclade 1,,,
Eusauropoda subclade 2,,,
Eusauropoda subclade 3,,,
Eusauropoda subclade 4,,,
Eusauropoda subclade 5,,,
Eusauropoda,,,
Eusthenodon,,,10
Eusthenopteron,,,10
Eustreptospondylus,,,10
Eusuchia subclade 1,,,
Eusuchia,,,
Eutemnospondyli,,,
Eutherapsida,,,
Eutheriodontia,,,
Eutherocephalia subclade 1,,,
Eutherocephalia subclade 2,,,
Eutherocephalia subclade 3,,,
Eutherocephalia,,,
Euthycarcinoidea,,,
Eutitanosauria subclade 1,,,
Eutitanosauria subclade 2,,,
Eutitanosauria,,,
Eutracheophytes,,,
Euungulata,,,20
Exaeretodon,,,10
Exafroplacentalia,,,
Excalibosaurus,,,10
Excavata,,,
Falcarius,,,10
False gharial,,Tomistoma,40
False girdled lizard,,Hemicordylus capensis,50
Fedexia,,,10
Felidae,,,
Feliformia,"[""Feloidea""]",,50
Felinae,,,
Felis,,,
Fengzhengia,,,10
Ferae,,,
Fereuungulata,,,
Fern,,Polypodiopsida,60
Ferreira's spiny tree rat,,Mesomys hispidus,50
Ferret-badger,,Melogale,30
Filozoa,,,
Fir,,Abies,60
Firmoss,,Huperziaceae,50
Flagellaria,,,30
Flagellicaudata,,,
Florida mouse,,,50
Flowering plant subclade 1,,,
Flowering plant subclade 2,,,
Flowering plant subclade 3,,,
Flowering plant subclade 4,,,
Flowering plant subclade 5,,,
Flowering plant subclade 6,,,
Flowering plant,,Angiosperms,40
Four-horned antelope,,Tetracerus quadricornis,50
Four-striped grass mouse,,Rhabdomys pumilio,50
Fox,,Vulpini,75
Freshwater crocodile,,,60
Frog,,Anura,85
Fruitadens,,,10
Fruitafossor,,,
Fukuiraptor,,,10
Fungus,,Fungi,70
Futalognkosaurus,,,10
Fuxianhuiida,,,10
Galago,"[""Bushbabies"", ""Bush babies"", ""or Nagapie""]",Galagidae,50
Galbulimima,,,40
Galea,"[""Yellow-toothed cavy""]",,50
Galeaspida,,,
Galechirus,,,10
Galeola,,,30
Galepus,,,10
Galictinae,,,
Galictis,,,20
Gallimimus,,,60
Gargoyleosaurus,,,10
Garlic,,Allium sativum,70
Gasosaurus,,,10
Gasparinisaura,,,10
Gastonia,,,10
Gastropoda,,,10
Gaur,,,50
Gayal,,,50
Gazelle,,Gazella,60
Gecko,,Gekkota,70
Geikia,,,10
Geikiinae,,,
Genasauria,,,
Geomorpha,,,
Geomyoidea,,,
Georgiacetus,,,
Gephyrosaurus,,,10
Gerbil,,Gerbillinae,70
Gerenuk,,Litocranius walleri,50
German garlic,"[""aging chive"", ""broadleaf chives""]",Allium senescens,50
Gerobatrachus,,,10
Gerrhosauridae,,,
Gerrhosaurinae,,,
Gerrhosaurus,,,10
Gharial,,Gavialis gangeticus,50
Giant anteater,,Myrmecophaga,50
Giant beaver,,Castoroides,40
Giant eland,,,50
Giant forest hog,,Hylochoerus meinertzhageni,50
Gibbon,,,60
Giganotosaurini subclade 1,,,
Giganotosaurini,,,
Giganotosaurus,,,50
Gigantoraptor,,,40
Gila monster,,Heloderma suspectum,60
Gilliesieae,,,30
Ginger,,Zingiber,65
Ginkgo,,,60
Giraffatitan,,,50
Giraffe,,Giraffa camelopardalis,80
Giraffidae,,,
Giraffoidea,,,
Glaucophyte,,,
Glires,,,
Globba,,,40
Globidonta,,,
Glyptodon,,,20
Glyptodontidae,,,
Glyptotherium,,,10
Gnathostomata,,,
Goa,"[""Tibetan gazelle""]",Procapra picticaudata,50
Goat,,Capra aegagrus hircus,80
Gobiconodon,,,10
Gobiconodonta subclade 1,,,
Gobiconodonta,,,
Gogonasus,,,10
Golden mole,,Chrysochloridae,30
Gomortega,,,50
Gomphodontia subclade 1,,,
Gomphodontia,,,
Gomphothere,,Gomphotheriidae,10
Goniopholis,,,10
Gopher,"[""Pocket gophers""]",Geomyidae,70
Goral,,"Nemorhaedus, Naemorhedus",50
Gorgonops,,,20
Gorgonopsia subclade 1,,,
Gorgonopsia subclade 2,,,
Gorgonopsia,,,
Gorgonopsidae subclade 1,,,
Gorgonopsidae subclade 2,,,
Gorgonopsidae subclade 3,,,
Gorgonopsidae subclade 4,,,
Gorgonopsidae,,,
Gorgosaurus,,,10
Gorilla,,,80
Goyocephale,,,10
Graciliceratops,,,10
Graciliraptor,,,10
Gracilisuchus,,,20
Graminid clade subclade 1,,,
Graminid clade,,,
Grant's gazelle,,,50
Grass subclade 1,,,
Grass subclade 2,,,
Grass,,Poaceae,80
Grasshopper mouse,,,50
Gray whale,,Eschrichtius,60
Grazing antelope,,Hippotraginae,55
Greater guinea pig,,,50
Greater kudu,,,50
Greererpeton,,,10
Grippia,,,10
Grippidia,,,
Grossius,,,10
Gryposaurus,,,10
Gualicho,,,10
Guanaco,,Lama guanicoe,40
Guanlong,,,10
Guatemalan beaded lizard,,Heloderma charlesbogerti,50
Guinea pig,"[""Cavy"", ""domestic guinea pig"", ""cuy""]",Cavia porcellus,70
Gundi,,Ctenodactylidae,50
Gymnophiona subclade 1,,,
Gymnophiona,,,
Gymnure,"[""hairy hedgehog"", ""moonrat""]",Galericinae,20
Gynerium,,,10
Habanocnus,,,10
Hacrobia,"[""Cryptomonads-haptophytes assemblage""]",,
Hadrosaurid,"[""duck-billed dinosaurs""]",Hadrosauridae,40
Hadrosauriformes,,,
Hadrosauroidea subclade 1,,,
Hadrosauroidea subclade 2,,,
Hadrosauroidea,,,
Hadrosaurus,,,60
Hagfish,,Myxini,30
Hagryphus,,,10
Haikouella,,,
Hairy-tailed bolo mouse,,Necromys lasiurus,50
Halitheriinae,,,
Halitherium,,,10
Hallucicrania subclade 1,,,
Hallucicrania,,,
Hallucigenia,,,10
Hamster,,Cricetinae,75
Hapalops,,,10
Haplocanthosaurus,,,10
Haplocheirus,,,10
Haplorhini,"[""Dry-nosed primates""]",,
Haptodus,,,
Hare,"[""jackrabbits""]",Lepus,70
Harpymimus,,,10
Hartebeest,,Alcelaphus buselaphus,60
Hedgehog,,Erinaceinae,70
Hedyosmum,,,50
Heleosaurus,,,10
Heliconia,"[""lobster-claws"", ""wild plantains"", ""false bird-of-paradise""]",,30
Helmeted iguana,,,50
Helmetia,,,10
Heloderma,,,
Hemichordate,,Hemichordata,
Hemicyclaspis,,,
Hemicyonidae,"[""Hemicyoninae"", ""dog-bear""]",,
Hernandiaceae,,,10
Herpetoskylax,,,10
Herrerasauridae subclade 1,,,
Herrerasauridae,,,
Herrerasaurus,,,20
Hesperocyon,,,10
Hesperonychus,,,10
Hesperosaurus,,,10
Hesperosuchus,,,10
Heterodontosauridae subclade 1,,,
Heterodontosauridae,,,
Heterodontosaurinae,,,
Heterodontosaurus,,,30
Heteromyidae subclade 1,,,
Heteromyidae,,,
Hexapoda,,,
Himalayan tahr,,Hemitragus jemlahicus,50
Hipparion,,,10
Hipparionini,,,
Hippidion,,,10
Hippodraco,,,10
Hippomorpha,,,
Hippopotamidae,,,
Hippopotamus,,H. amphibius,70
Hipposaurus,,,10
Hippotragus subclade 1,,,
Hippotragus,,,
Hirola,,Beatragus hunteri,50
Hispid hare,,Caprolagus,50
Hofmeyria,,,10
Hog badger,,Arctonyx collaris,30
Holmesina,,,10
Holoptychius,,,10
Holotheria,,,
Holothyrida,,,10
Holozoa,,,
Homalocephale,,,10
Hominidae,,,
Hominina subclade 1,,,
Hominina,,,
Homininae,,,
Hominini,,,
Homo antecessor,,,
Homo erectus,,,50
Homo ergaster,,,
Homo floresiensis,"[""\""Flores Man\"""", ""nicknamed \""hobbit\""""]",,20
Homo habilis,,,
Homo rhodesiensis,,,
Homo subclade 1,,,
Homo subclade 2,,,
Homo subclade 3,,,
Homo,,,50
Honanotherium,,,
Honey badger,,Mellivora,65
Horned gopher,,,40
Horned lizard,,,55
Horneophyton,,,10
Horneophytopsida,,,
Hornwort,,Anthocerotophyta,50
Horse,,Equus ferus caballus,90
Horseshoe crab,,Limulidae,60
Houttuynia,"[""fish mint"", ""fish leaf"", ""lizard tail"", ""chameleon plant"", ""heartleaf"", ""fishwort"", ""bishop's weed""]",,50
Hovasaurus,,,10
Huaxiagnathus,,,10
Huayangosaurus,,,10
Hudsonelpidia,,,10
Hueneosauria,,,
Hulitherium,,,10
Human,,Homo sapiens or Homo sapiens sapiens,100
Humpback whale,,Megaptera,60
Hupehsuchia,,,
Hupehsuchus,,,10
Hutia,,Capromyidae,50
Hydnora,,,50
Hydnoroideae,,,
Hydrochoerinae,,,
Hydrochoerus,,,
Hygroryza,,,30
Hylonomus,,,
Hypacrosaurus,,,10
Hyperoartia,,,
Hypohippus,,,10
Hypolagus,,,10
Hypoxidaceae sl subclade 1,,,
Hypoxidaceae sl,,,
Hypoxidaceae,,,10
Hypsilophodon,,,10
Hypsiprymnodontidae,,,
Hypsognathus,,,10
Hyracodon,,,10
Hyracodontidae,,,
Hyrax,,Hyracoidea,50
Hystricognathi,,,
Hystricomorpha,,,
Ichthyolestes,,,10
Ichthyopterygia,,,
Ichthyosaur,,"Ichthyosauria, Ichthyopterygia",50
Ichthyosauromorpha,,,
Ichthyosaurus,,,60
Ichthyostega,,,
Ictidorhinus,,,10
Ictidosuchoides,,,10
Ictonyx,,,20
Idmonarachne,,,10
Iguana,,,60
Iguanacolossus,,,10
Iguania,,,
Iguanodon,,,75
Iguanodontia subclade 1,,,
Iguanodontia subclade 2,,,
Iguanodontia,,,20
Iguanodontidae subclade 1,,,
Iguanodontidae,,,
Iguanoidea,,,
Ilokelesia,,,10
Imagotaria,,,
Impala,,Aepyceros melampus,65
Incense cedar,,,55
Incisivosaurus,,,10
Indohyus,,,
Inioidea,,,
Inostrancevia,,,10
Insect,,Insecta,95
Insectivora subclade 1,,,
Insectivora subclade 2,,,
Insectivora,,Eulipotyphla,60
Iridaceae,,,10
Irritator,,,10
Ischigualastia,,,10
Isisaurus,,,10
Isisfordia,,,10
Isodectes,,,10
Isoetaceae,,,
Isoetales,,,
Isoxyida,,,10
Itasuchus,,,10
Ixalerpeton,,,10
Ixiolirion,,,30
Jaguar,,Panthera onca,60
Jamoytius,,,10
Janjucetus,,,10
Japanese badger,,Meles anakuma,60
Japonolirion,,,40
Jarvikina,,,10
Jellyfish,,Medusozoa,80
Jerboa,,,60
Jiangxisaurus,,,10
Jianshanopodia,,,
Jinfengopteryx,,,10
Jingshanosaurus,,,10
Jobaria,,,10
Joinvillea,,,30
Josephoartigasia,,,50
Jumping bristletails,"[""Microcoryphia""]",Archaeognatha,50
Jumping mouse,,Zapodinae,50
Juncaceae,"[""rush family""]",,10
Juniper,,,60
Juramaia,,,
Juratyrant,,,10
Juravenator,,,10
Kadsura,,,50
Kalobatippus,,,10
Kamacops,,,10
Kangaroo mouse,,Microdipodops,65
Kangaroo rat,,Dipodomys,65
Kannemeyeria,,,10
Kannemeyeriiformes subclade 1,,,
Kannemeyeriiformes subclade 2,,,
Kannemeyeriiformes subclade 3,,,
Kannemeyeriiformes subclade 4,,,
Kannemeyeriiformes subclade 5,,,
Kannemeyeriiformes subclade 6,,,
Kannemeyeriiformes,,,
Kaprosuchus,,,10
Karaurus,,,10
Karenites,,,10
Kayentachelys,,,10
Keeled plated lizard,,Tracheloptychus,50
Kentriodon,,,10
Kentrosaurus,,,10
Keratocephalus,,,10
Kerygmachela,,,10
Keteleeria,,,50
Kiang,"[""ibetan wild ass"", ""khyang"", ""gorkhar""]",Equus kiang,40
Killer whale,,Orcinus,85
Kimberella,,,
Kinkajou,,Potos flavus,40
Kistecephalia subclade 1,,,
Kistecephalia,,,
Klipspringer,,Oreotragus oreotragus,50
Kmeria,,,40
Knob-scaled lizard,,Xenosaurus grandis,50
Koala,,Phascolarctos cinereus,80
Kob,,,50
Kobus,,,
Kodymirus,,,10
Kogiidae,,,
Korean wild chive,,Allium monanthum,50
Korrigum,,Damaliscus lunatus korrigum,50
Kosmoceratops,,,10
Kouprey,,,50
Kri-kri,,Capra aegagrus cretica,50
Kritosaurini,,,
Kritosaurus,,,10
Kuamaia,,,10
Kubanochoerus,,,10
Kuehneosauridae,,,20
Kutchicetus,,,10
Kwanyinaspis,,,10
Kylinxia,,,10
Labidosaurikos,,,10
Labidosaurus,,,10
Lacertibaenia,,,
Lacertidae,"[""Wall lizards"", ""True lizards""]",,10
Lacertoidea,,,
Lactoris,,,50
Lady's slipper orchids,"[""lady slipper orchids"", ""slipper orchids""]",Cypripedioideae,40
Lagerpetidae subclade 1,,,
Lagerpetidae,,,
Lagerpeton,,,10
Lagomorpha,,,
Lagorchestes,,,30
Lama,,,
Lambdotherium,,,10
Lambeosaurinae subclade 1,,,
Lambeosaurinae,,,
Lambeosaurini subclade 1,,,
Lambeosaurini subclade 2,,,
Lambeosaurini subclade 3,,,
Lambeosaurini subclade 4,,,
Lambeosaurini,,,
Lambeosaurus,,,40
Lamini,,,
Lamprey,"[""Lamprey eels""]",Petromyzontiformes,30
Lancelet,,Amphioxiformes,30
Land plant,"[""Embryophyte""]",Embryophyta,95
Lang's crag lizard,,Pseudocordylus langi,50
Lanthanosuchus,,,10
Lanzhousaurus,,,10
Laotian rock rat,,Laonastes,50
Lapillopsis,,,10
Larch,,,55
Large-flowered bay tree,,Persea macrantha,55
Laricoideae,,,
Lariosaurus,,,10
Laurales subclade 1,,,
Laurales subclade 2,,,
Laurales subclade 3,,,
Laurales subclade 4,,,
Laurales subclade 5,,,
Laurales,,,
Laurasiatheria,,,
Laurel,,Lauraceae,55
Lechwe,,,50
Leek,,Allium ampeloprasum,60
Leiolepis,,,10
Lemming,,,65
Lemur,,Lemuroidea,60
Lemuriformes,,,
Lemurosaurus,,,10
Leopard,,Panthera pardus,70
Lepidodendrales,,Lepidodendraceae,
Lepidodendron,,,10
Lepidosauria,,,
Lepidosauromorpha subclade 1,,,
Lepidosauromorpha,,,
Lepidozamia,,,50
Leporidae,,,
Leporinae,,,
Leptocardii,,,
Leptoceratops,,,20
Leptoceratopsidae subclade 1,,,
Leptoceratopsidae subclade 2,,,
Leptoceratopsidae subclade 3,,,
Leptoceratopsidae,,,
Leptomeryx,,,10
Leptonectidae,,,
Leptopleuron,,,10
Leptopleuroninae,,,
Leptosuchomorpha,,,
Lesothosaurus,,,10
Lesser capybara,,Hydrochoerus isthmius,50
Lesser kudu,,,50
Leucocorynae,,,30
Liaoceratops,,,10
Lichtenstein's hartebeest,,Alcelaphus buselaphus lichtensteinii,50
Life,,,100
Liliales,,,10
Liliensternus,,,10
Limusaurus,,,10
Linhenykus,,,10
Linheraptor,,,10
Liolaemidae,,,
Liolaemus,,,50
Lion,,,80
Lipotoidea,,,
Lissamphibia,,,
Litargosuchus,,,20
Liverworts,,Marchantiophyta,50
Livyatan melvillei,,,
Lizard's tail,,,55
Llama,,Lama glama,70
Lobalopex,,,10
Lomandroideae,,,10
Longosuchus,,,10
Lophorhinus,,,10
Lophotrochozoa subclade 1,,,
Lophotrochozoa,,,
Loricata subclade 1,,,
Loricata subclade 2,,,
Loricata subclade 3,,,
Loricata,,,
Loricifera,,,
Loris,,Lorinae,50
Lorisidae,,,
Lorisoidea,,,
Lotosaurus,,,10
Loxomma,,,10
Lufengosaurus,,,10
Lumkuia,,,10
Lungfish,,Dipnoi,50
Luohuilinella,,,10
Luperosuchus,,,10
Lycaenops,,,20
Lycophytina subclade 1,,,
Lycophytina,,,
Lycopodiales,,,
Lycopodiopsida subclade 1,,,
Lycopodiopsida subclade 2,,,
Lycopodiopsida subclade 3,,,
Lycopodiopsida subclade 4,,,
Lycopodiopsida subclade 5,,,
Lycopodiopsida,,,
Lycosuchus,,,10
Lydekkerina,,,10
Lygeum,,,30
Lystrosaurus,,,10
Lythronax,,,10
Machaeroprosopus,,,10
Machairasaurus,,,10
Macrocranion,,,10
Macroleter,,,10
Macronaria subclade 1,,,
Macronaria,,,
Macroneuropteris,,,10
Macropodidae,,,
Macropodiformes,,,
Macropodinae,,,
Macropus subgenus,,,
Macropus,,,
Macrozamia,,,50
Macrozamiinae,,,
Madagascar girdled lizard,,,50
Magnapaulia,,,10
Magnolia vine,,Schisandra,55
Magnolia,,,60
Magnoliaceae,,,
Magnoliales subclade 1,,,
Magnoliales subclade 2,,,
Magnoliales subclade 3,,,
Magnoliales,,,
Magnolieae,,,
Magnoliids,,,
Magnosaurus,,,10
Mahajangasuchidae,,,
Mahajangasuchus,,,20
Mahakala,,,10
Maiacetus,,,10
Maiasaura,,,10
Majungasaurus,,,20
Malabar spiny dormouse,,Platacanthomys lasiurus,50
Malagasy rats and mice,,Nesomyinae,50
Malawisaurus,,,10
Mamenchisaurus,,,10
Mammal,,Mammalia,70
Mammaliaformes,,,
Mammoth,,Mammuthus,60
Manatee,,Trichechidae,60
Mandibulata subclade 1,,,
Mandibulata,,,
Maned rat,"[""Crested rat""]",Lophiomys imhausi,50
Manglietia,,,40
Manidens,,,10
Maniraptora,,,
Maniraptoriformes,,,
Mantellisaurus,,,10
Mapusaurus,,,10
Mara,,Dolichotis,50
Marantaceae,,,10
Marasuchus,,,
Marbled polecat,,Vormela peregusna,40
Marginocephalia,,,
Mariliasuchus,,,10
Markhor,,Capra falconeri,65
Marshosaurus,,,10
Marsupial lion,,Thylacoleo carnifex,40
Marsupial mole,,Notoryctes,40
Marsupial,,Marsupialia,70
Marten,,Martes,50
Martinae,,,
Masiakasaurus,,,10
Massetognathus,,,10
Massopoda,,,
Massospondylidae,,,
Massospondylus,,,10
Mastodon,,Mammut,50
Mastodonsaurus,,,10
Mastomys,,,
Matgrass,,,50
Mayaca,,,30
Mayfly,"[""shadflies"", ""fishflies ""]",Ephemeroptera,50
mazothairos,,,10
Megacerops,,,10
Megacheira,,,10
Megadictyon,,,
Megalonychidae,,,
Megalonychini,,,
Megalonyx,,,10
Megalosauria,,,
Megalosauridae subclade 1,,,
Megalosauridae,,,
Megalosaurinae subclade 1,,,
Megalosaurinae,,,
Megalosauroidea,,,
Megalosaurus,,,20
Megaphylla,,,
Megaraptor,,,30
Megaraptora subclade 1,,,
Megaraptora,,,
Megaraptoridae,,,
megasecoptera,,,10
Megatheriidae,,,
Megatheriina,,,
Megatherium,,,50
Megatylopus,,,10
Megazostrodon,,,10
Mei,,,10
Meiolania,,,10
Meiolaniidae,,,
Mekosuchinae,,,
Melanocrommyum,,,
Melanorosaurus,,,10
Meles,,,
Meliceae,,,10
Melinae,,,
Merostomata,,,
Merriamosauria subclade 1,,,
Merriamosauria subclade 2,,,
Merriamosauria subclade 3,,,
Merriamosauria,,,
Merycoidodontidae,,,
Mesoeucrocodylia,,,
Mesohippus,,,10
Mesomycetozoea,,,
Mesosaur,,,30
Mesostigmata,,,10
Metalignophytes,,,
Metamynodon,,,10
Metasuchia subclade 1,,,
Metasuchia subclade 2,,,
Metasuchia,,,
Metatheria,,,
Metriacanthosauridae,,,
Metriacanthosaurinae,,,
Metriacanthosaurus,,,20
Metridiochoerus,"[""Giant warthog""]",,10
Mexican beaded lizard,,,50
Miacids,,,
Michelia,,,40
Micrairoideae,,,10
Microcavia,"[""Mountain cavies""]",,50
Microcycas,,,50
Microgomphodon,,,10
Micropholis amphibian,,,10
Microraptor,,,50
Microraptoria subclade 1,,,
Microraptoria subclade 2,,,
Microraptoria,,,
Microvenator,,,10
Milleretta,,,10
Millerettidae,,,
Millerosaurus,,,10
Millipede,,Diplopoda,65
Minmi,,,10
Minotaurasaurus,,,10
Misszhouia,,,10
Mixosauria,,,
Mixosaurus,,,10
Moeritherium,,,10
Moghreberia,,,10
Mollusk,"[""Mollusc""]",Mollusca,50
Mongalla gazelle,,Eudorcas albonotata,50
Mongolian gazelle,,Procapra gutturosa,50
Monimiaceae,,,10
Monito del monte,,Dromiciops,40
Monitor lizard,,,60
Monocot subclade 1,,,
Monocot subclade 2,,,
Monocot subclade 3,,,
Monocot subclade 4,,,
Monocot subclade 5,,,
Monocot,"[""Monocotyledons""]",,
Monodontidae,,,
Monolophosaurus,,,20
Monoplacophora,,,10
Monotremata,,,50
Montanoceratops,,,10
Montealtosuchus,,,10
Morelet's crocodile,"[""Mexican crocodile""]",Crocodylus moreletii,50
Morganucodon,,,10
Morganucodontidae,,,
Moropus,,,10
Mosasaur,,Mosasauroidea,60
Moschopina,,,
Moschops,,,10
Moschorhinus,,,10
Moschowhaitsia,,,10
Moss,,Bryophyta,60
Mount elgon vlei rat,,Otomys jacksoni,50
Mountain beaver,"[""Aplodontia"", ""Mountain boomer"", ""Ground bear"", ""Giant mole"", ""Sewellel beaver""]",Aplodontia rufa,60
Mountain degu,,Octodontomys gliroides,50
Mountain goat,"[""Rocky Mountain goat""]",Oreamnos americanus,65
Mountain nyala,,,50
Mountain viscachas,,Lagidium,50
Mouse-like hamster,,Calomyscus,50
Mouse,,,85
Muchocephalus,,,10
Mugger crocodile,,Crocodylus palustris,40
Multituberculata,,,
Muridae,,,
Murinae subclade 1,,,
Murinae subclade 10,,,
Murinae subclade 2,,,
Murinae subclade 3,,,
Murinae subclade 4,,,
Murinae subclade 5,,,
Murinae subclade 6,,,
Murinae subclade 7,,,
Murinae subclade 8,,,
Murinae subclade 9,,,
Murinae,,,
Muroidea,,,
Murusraptor,,,10
Musaceae,,,
Musk deer,,Moschus,50
Muskox,,Ovibos moschatus,70
Muskrat,,Ondatra zibethicus,65
Musky rat-kangaroo,,Hypsiprymnodon moschatus,40
Mustelidae subclade 2,,,
Mustelidae subclade 3,,,
Mustelidae subclade 4,,,
Mustelidae subclade 5,,,
Mustelidae subclade 6,,,
Mustelidae subclade 7,,,
Mustelidae,,,
Mustelinae,,,
Musteloidea subclade 1,,,
Musteloidea subclade 2,,,
Musteloidea,,,
Muttaburrasaurus,,,10
Mycterosaurinae,,,
Mycterosaurus,,,10
Mylodontidae,,,
Mymoorapelta,,,10
Myodini,,,
Myomorpha,,,
Myosaurus,,,10
Myriapod,,,
Myristicaceae,"[""Nutmeg family""]",,10
Myrmecophagidae,,,
Mystriosuchus,,,10
Naemorhedini,,,
Naked mole-rat,"[""sand puppy"", ""desert mole rat""]",Heterocephalus glaber,60
Namaqua rock rat,,Aethomys namaquensis,50
Nanger subclade 1,,,
Nanger,,,
Nankangia,,,10
Nanshiungosaurus,,,10
Naraoia,,,10
Nartheciaceae,,,10
Narwhal,,Monodon,65
Natal multimammate mouse,,Mastomys natalensis,50
Nautilaceae,,,
Nautilitoidea,,,
Nautiloid,,Nautiloidea,
Nautilus,,Nautilidae,55
Neanderthal,"[""Neandertals""]",,60
Necrolemur,,,10
Necrolestes,,,
Neimongosaurus,,,10
Nektaspida subclade 1,,,
Nektaspida subclade 2,,,
Nektaspida,,,
Neldasaurus,,,10
Nematoida,,,10
Nemegtbaatar,,,10
Nemegtomaia,,,20
Nemertea,"[""ribbon worms"", ""proboscis worms""]",,10
Neoaetosauroides,,,10
Neoanguimorpha subclade 1,,,
Neoanguimorpha,,,
Neoceratopsia subclade 1,,,
Neoceratopsia subclade 2,,,
Neoceratopsia,,,
Neoceratosauria,,,
Neocnus,,,10
Neocoleoidea,,,
Neodiapsida,,,
Neofelis,,,
Neohipparion,,,10
Neoichthyosauria subclade 1,,,
Neoichthyosauria,,,
Neoptera,,,
Neornithischia subclade 1,,,
Neornithischia subclade 2,,,
Neornithischia,,,
Neosauropoda,,,
Neosuchia subclade 1,,,
Neosuchia,,,
Neotherapsida,,,
Neotheropoda subclade 1,,,
Neotheropoda subclade 2,,,
Neotheropoda subclade 3,,,
Neotheropoda,,,
Neotominae,,,
Neotragini,,,
Neovenator,,,10
